listing_id,date
114384,2012-12-31
114384,2013-03-14
114384,2013-04-04
114384,2013-09-30
114384,2014-03-13
114384,2014-12-16
114384,2014-12-21
114384,2014-12-26
114384,2014-12-29
114384,2015-01-23
114384,2015-02-16
114384,2015-03-27
114384,2015-04-07
114384,2015-04-19
114384,2015-05-10
114384,2015-05-16
114384,2015-06-11
114384,2015-06-19
114384,2015-06-27
114384,2015-08-17
114384,2015-09-05
114384,2015-09-14
114384,2015-09-24
114384,2015-10-25
114384,2015-12-24
114384,2015-12-27
114384,2016-04-01
114384,2016-05-16
114384,2016-05-29
114384,2016-07-10
114384,2016-07-30
114384,2016-08-06
114384,2016-08-07
114384,2016-08-20
114384,2016-08-20
114384,2016-08-24
114384,2016-09-17
114384,2016-10-29
114384,2016-11-20
114384,2016-12-28
114384,2016-12-29
114384,2017-04-23
114384,2017-04-30
114384,2017-05-14
114384,2017-05-18
114384,2017-05-24
114384,2017-06-17
114384,2017-06-28
114384,2017-07-09
114384,2017-07-15
114384,2017-07-16
114384,2017-07-23
114384,2017-07-28
114384,2017-08-21
114384,2017-09-12
114384,2017-09-18
114384,2020-01-04
114465,2012-11-13
114465,2012-12-08
114465,2012-12-19
114465,2013-12-02
114465,2015-04-07
114465,2015-06-30
114465,2016-01-01
114465,2016-01-04
114465,2017-09-21
114465,2019-10-06
114465,2020-10-17
114465,2020-10-23
627240,2012-09-07
685820,2015-09-21
685820,2016-02-29
685820,2016-05-05
685820,2016-06-13
685820,2016-08-01
685820,2016-10-08
685820,2017-01-01
824570,2015-03-17
824570,2015-09-23
1285333,2013-07-09
1285333,2013-08-11
1285333,2014-04-08
1285333,2014-05-03
1285333,2014-05-13
1285333,2014-07-15
1285333,2014-07-25
1285333,2014-10-15
1285333,2014-10-24
1285333,2015-02-01
1285333,2015-05-07
1285333,2015-06-22
1285333,2015-06-26
1285333,2015-07-06
1285333,2015-09-26
1285333,2016-06-15
1285333,2016-09-26
1285333,2016-12-17
1285333,2017-01-15
1285333,2017-03-12
1285333,2017-03-17
1285333,2017-04-30
1285333,2018-05-20
1325945,2013-09-30
1325945,2014-05-12
1325945,2014-06-10
1325945,2014-07-11
1325945,2014-10-29
1325945,2015-01-23
1325945,2015-04-06
1325945,2015-06-10
1325945,2015-07-22
1325945,2015-09-13
1325945,2015-09-30
1325945,2017-10-12
1325945,2017-12-30
1325945,2018-01-10
1325945,2018-02-28
1325945,2018-10-19
1325945,2018-11-30
1325945,2019-01-02
1325945,2019-08-30
1383368,2016-10-05
1484562,2016-02-26
1484562,2016-05-18
1484562,2016-06-05
1484562,2016-06-14
1484562,2016-07-04
1484562,2016-07-15
1484562,2016-07-17
1484562,2016-07-22
1484562,2016-07-23
1484562,2016-07-28
1484562,2016-08-14
1484562,2016-09-04
1484562,2017-01-24
1484562,2017-02-08
1484562,2017-07-29
1484562,2017-08-05
1484562,2017-08-25
1484562,2017-08-31
1484562,2019-02-22
1484562,2019-04-08
1484562,2019-07-03
1484562,2019-07-15
1484562,2019-08-17
1484562,2020-08-20
1484562,2020-10-17
1484562,2020-11-07
1491640,2014-08-29
1491640,2017-05-22
1491640,2021-02-11
1635589,2013-10-25
1635589,2014-04-12
1635589,2015-05-09
1643534,2013-10-08
1643534,2014-03-09
1643534,2014-07-07
1643534,2014-07-20
1643534,2014-07-29
1643534,2014-09-13
1643534,2014-10-06
1643534,2014-10-14
1643534,2014-10-31
1643534,2014-11-09
1643534,2014-11-17
1643534,2014-12-22
1643534,2014-12-27
1643534,2015-01-11
1643534,2015-01-18
1643534,2015-01-23
1643534,2015-02-20
1643534,2015-04-24
1643534,2015-05-06
1643534,2015-06-07
1643534,2015-06-21
1643534,2015-06-28
1643534,2015-06-29
1643534,2015-10-31
1643534,2016-01-23
1643534,2016-03-18
1643534,2016-03-30
1643534,2016-05-09
1643534,2016-09-30
1643534,2016-10-05
1643534,2016-11-03
1643534,2016-12-18
1643534,2016-12-31
1643534,2017-02-07
1643534,2017-03-08
1643534,2017-08-06
1643534,2017-08-19
1643534,2017-08-22
1643534,2017-10-08
1643534,2018-04-07
1643534,2018-04-15
1643534,2018-04-29
1643534,2018-05-03
1643534,2018-05-14
1643534,2018-06-07
1643534,2018-06-25
1643534,2018-08-16
1643534,2018-08-29
1643534,2018-09-30
1643534,2018-10-05
1643534,2018-10-21
1643534,2018-10-29
1643534,2019-04-07
1643534,2019-06-25
1643534,2019-06-30
1643534,2019-07-06
1643534,2019-08-30
1643534,2019-09-06
1643534,2019-10-01
1643534,2019-10-25
1643534,2019-11-01
1643534,2019-11-11
1643534,2019-11-19
1643534,2020-01-06
1643534,2020-01-28
1643534,2020-09-18
1643534,2021-01-02
1714180,2014-06-26
1714180,2015-04-11
1714180,2015-06-28
1714180,2021-02-12
1784379,2014-02-13
1784379,2014-05-05
1784379,2014-07-12
1784379,2014-08-09
1784379,2014-08-14
1784379,2014-08-17
1784379,2014-09-04
1784379,2014-09-21
1784379,2014-09-27
1784379,2014-10-02
1784379,2014-10-15
1784379,2014-11-23
1784379,2015-01-05
1784379,2015-01-25
1784379,2015-02-06
1784379,2015-03-13
1784379,2015-03-25
1784379,2015-04-20
1784379,2015-04-28
1784379,2015-08-22
1784379,2016-01-12
1784379,2016-02-01
1784379,2016-03-30
1784379,2016-04-26
1784379,2016-05-26
1784379,2016-06-26
1784379,2016-07-16
1784379,2016-08-04
1784379,2016-08-09
1784379,2016-08-17
1784379,2016-08-30
1784379,2016-09-29
1784379,2016-10-30
1784379,2016-11-01
1784379,2016-12-04
1784379,2016-12-24
1784379,2017-02-06
1784379,2017-02-15
1784379,2017-03-15
1784379,2017-03-17
1784379,2017-03-21
1784379,2017-03-27
1784379,2017-04-01
1784379,2017-04-02
1784379,2017-04-16
1784379,2017-04-29
1784379,2017-05-01
1784379,2017-05-06
1784379,2017-05-15
1784379,2017-06-03
1784379,2017-06-24
1784379,2017-06-30
1784379,2017-07-01
1784379,2017-08-11
1784379,2017-08-12
1784379,2017-08-13
1784379,2017-08-17
1784379,2017-08-20
1784379,2017-09-06
1784379,2017-09-11
1784379,2017-09-15
1784379,2017-09-24
1784379,2017-09-30
1784379,2017-10-04
1784379,2017-10-07
1784379,2017-11-05
1784379,2017-11-18
1784379,2017-11-23
1784379,2017-11-25
1784379,2017-12-03
1784379,2017-12-09
1784379,2017-12-22
1784379,2017-12-24
1784379,2018-01-11
1784379,2018-01-14
1784379,2018-01-21
1784379,2018-01-22
1784379,2018-02-06
1784379,2018-02-22
1784379,2018-02-24
1784379,2018-03-04
1784379,2018-03-18
1784379,2018-04-07
1784379,2018-04-17
1784379,2018-04-20
1784379,2018-04-23
1784379,2018-05-01
1784379,2018-05-04
1784379,2018-05-05
1784379,2018-05-12
1784379,2018-05-18
1784379,2018-05-26
1784379,2018-06-06
1784379,2018-06-11
1784379,2018-07-13
1784379,2018-07-15
1784379,2018-07-17
1784379,2018-07-18
1784379,2018-07-20
1784379,2018-07-23
1784379,2018-08-02
1784379,2018-08-30
1784379,2018-08-31
1784379,2018-09-03
1784379,2018-09-28
1784379,2018-10-02
1784379,2018-10-19
1784379,2018-10-25
1784379,2018-11-17
1784379,2018-11-19
1784379,2018-12-03
1784379,2018-12-08
1784379,2018-12-10
1784379,2018-12-21
1784379,2018-12-23
1784379,2019-01-08
1784379,2019-01-19
1784379,2019-06-22
1784379,2019-06-23
1784379,2019-07-04
1784379,2019-07-06
1784379,2019-07-07
1784379,2019-07-17
1784379,2019-07-23
1784379,2019-07-27
1784379,2019-08-27
1784379,2019-09-02
1784379,2019-09-03
1784379,2019-09-05
1784379,2019-10-04
1784379,2019-10-12
1784379,2019-10-15
1784379,2019-10-19
1784379,2019-10-21
1784379,2019-10-26
1784379,2019-11-04
1784379,2019-11-08
1784379,2019-11-11
1784379,2019-11-14
1784379,2019-11-15
1784379,2019-11-19
1784379,2019-11-26
1784379,2019-12-08
1784379,2019-12-11
1784379,2019-12-14
