neighbourhood_group,neighbourhood
,东城区
,丰台区 / Fengtai
,大兴区 / Daxing
,密云县 / Miyun
,平谷区 / Pinggu
,延庆县 / Yanqing
,怀柔区 / Huairou
,房山区
,昌平区
,朝阳区 / Chaoyang
,海淀区
,石景山区
,西城区
,通州区 / Tongzhou
,门头沟区 / Mentougou
,顺义区 / Shunyi
